event_id,event_ts,user_id,session_id,event_type,page_url,device,browser
1,2017-10-03 03:40:53,u_1068,s_23970,logout,/product/456,desktop,edge
2,2017-10-10 11:39:40,u_1031,s_42092,checkout,/products,mobile,edge
3,2017-10-10 15:01:32,u_1077,s_53540,logout,/product/456,mobile,safari
4,2017-10-13 01:13:13,u_1028,s_36130,page_view,/product/123,desktop,safari
5,2017-10-13 11:11:45,u_1043,s_62581,search,/products,desktop,firefox
6,2017-10-15 20:34:58,u_1011,s_88193,logout,/checkout,tablet,firefox
7,2017-10-20 12:04:09,u_1084,s_42662,click,/account,desktop,edge
8,2017-10-23 02:09:21,u_1046,s_20500,scroll,/products,tablet,chrome
9,2017-10-23 20:44:35,u_1069,s_18834,page_view,/checkout,desktop,safari
10,2017-10-24 12:57:03,u_1044,s_54473,click,/product/456,desktop,safari
11,2017-10-29 04:09:03,u_1014,s_70068,click,/products,tablet,safari
12,2017-10-30 05:19:24,u_1034,s_29536,page_view,/checkout,tablet,safari
13,2017-10-30 12:20:18,u_1010,s_92213,add_to_cart,/products,tablet,firefox
14,2017-10-31 02:11:49,u_1082,s_47450,add_to_cart,/cart,mobile,firefox
15,2017-11-02 14:26:49,u_1046,s_66179,scroll,/account,desktop,chrome
16,2017-11-03 06:20:52,u_1077,s_73699,click,/help,desktop,safari
17,2017-11-06 05:16:19,u_1068,s_40982,scroll,/search,mobile,edge
18,2017-11-06 06:25:54,u_1068,s_40784,search,/product/456,desktop,safari
19,2017-11-10 05:29:46,u_1003,s_44664,click,/products,tablet,safari
20,2017-11-10 23:41:36,u_1093,s_57472,checkout,/product/123,mobile,safari
21,2017-11-11 23:31:27,u_1048,s_15075,checkout,/product/456,desktop,edge
22,2017-11-13 10:40:57,u_1013,s_50306,add_to_cart,/home,desktop,chrome
23,2017-11-24 05:26:56,u_1028,s_83579,search,/search,tablet,edge
24,2017-11-29 08:35:03,u_1058,s_30969,logout,/products,mobile,edge
25,2017-11-30 02:48:39,u_1071,s_48890,add_to_cart,/home,tablet,chrome
26,2017-12-01 10:08:13,u_1015,s_10425,search,/help,desktop,chrome
27,2017-12-02 18:03:11,u_1081,s_67912,logout,/help,desktop,chrome
28,2017-12-04 02:19:42,u_1048,s_26728,page_view,/search,tablet,chrome
29,2017-12-21 14:03:18,u_1085,s_42706,click,/checkout,tablet,edge
30,2017-12-22 06:06:08,u_1008,s_36365,search,/search,tablet,firefox
31,2017-12-22 13:49:22,u_1020,s_75435,logout,/account,desktop,firefox
32,2017-12-22 23:50:29,u_1046,s_72021,scroll,/products,mobile,firefox
33,2017-12-23 00:16:09,u_1044,s_17685,scroll,/search,desktop,edge
34,2017-12-23 02:11:07,u_1094,s_64377,logout,/checkout,tablet,edge
35,2017-12-28 08:17:48,u_1013,s_33519,search,/home,tablet,safari
36,2017-12-31 08:15:33,u_1044,s_25713,add_to_cart,/home,tablet,chrome
37,2018-01-01 16:42:51,u_1075,s_61876,scroll,/cart,mobile,firefox
38,2018-01-02 17:36:05,u_1009,s_63271,checkout,/help,desktop,edge
39,2018-01-03 08:53:54,u_1010,s_63354,add_to_cart,/products,desktop,edge
40,2018-01-03 11:46:06,u_1054,s_97026,login,/account,tablet,firefox
41,2018-01-06 00:21:53,u_1013,s_68082,click,/home,tablet,chrome
42,2018-01-07 22:11:09,u_1031,s_67154,page_view,/help,tablet,safari
43,2018-01-10 00:49:57,u_1048,s_52906,add_to_cart,/account,mobile,firefox
44,2018-01-11 23:52:17,u_1015,s_47388,logout,/help,tablet,edge
45,2018-01-14 05:07:26,u_1054,s_42951,add_to_cart,/products,tablet,safari
46,2018-01-14 18:28:09,u_1097,s_89276,add_to_cart,/checkout,desktop,firefox
47,2018-01-16 09:09:47,u_1009,s_87278,search,/products,desktop,firefox
48,2018-01-16 10:50:47,u_1031,s_10464,login,/product/123,tablet,firefox
49,2018-01-16 16:43:44,u_1031,s_78327,checkout,/product/456,mobile,edge
50,2018-01-17 03:35:46,u_1045,s_73624,add_to_cart,/help,desktop,edge
51,2018-01-17 14:36:21,u_1029,s_46211,page_view,/help,desktop,chrome
52,2018-01-19 16:16:30,u_1029,s_67433,search,/help,desktop,firefox
53,2018-01-20 10:13:46,u_1091,s_66346,login,/account,mobile,edge
54,2018-01-25 15:12:23,u_1079,s_50538,logout,/checkout,mobile,firefox
55,2018-01-30 19:00:31,u_1017,s_16572,checkout,/help,tablet,safari
56,2018-01-31 13:07:12,u_1054,s_80236,scroll,/product/456,desktop,edge
57,2018-02-03 04:05:47,u_1028,s_21359,search,/account,desktop,edge
58,2018-02-04 05:21:05,u_1003,s_73904,add_to_cart,/checkout,mobile,firefox
59,2018-02-09 07:11:09,u_1003,s_87110,add_to_cart,/product/456,desktop,chrome
60,2018-02-13 19:03:09,u_1054,s_39831,add_to_cart,/home,tablet,safari
61,2018-02-15 14:17:33,u_1005,s_63883,checkout,/home,tablet,chrome
62,2018-02-18 14:03:05,u_1089,s_28131,checkout,/products,desktop,chrome
63,2018-02-19 10:47:24,u_1093,s_19171,login,/checkout,tablet,chrome
64,2018-02-21 06:21:08,u_1064,s_89415,click,/product/123,mobile,chrome
65,2018-02-21 21:58:15,u_1094,s_76317,login,/home,mobile,edge
66,2018-02-25 05:42:44,u_1000,s_65255,search,/products,mobile,chrome
67,2018-03-04 17:58:19,u_1019,s_46517,click,/cart,mobile,edge
68,2018-03-11 11:17:48,u_1017,s_37110,logout,/search,tablet,chrome
69,2018-03-12 17:33:41,u_1090,s_81582,add_to_cart,/account,desktop,firefox
70,2018-03-12 19:27:33,u_1047,s_86503,login,/cart,desktop,firefox
