customer_id,zipcode,city,state_code,datetime_created,datetime_updated
82,24120,niteroi,RJ,2017-10-18 00:00:00,2018-06-02 09:15:00
5,13100,campinas,SP,2017-10-18 00:00:00,2018-06-03 14:30:00
12,20040,rio de janeiro,RJ,2017-10-18 00:00:00,2018-06-04 11:00:00
60,60175,fortaleza,CE,2017-10-18 00:00:00,2018-06-05 08:45:00
33,40010,salvador,BA,2017-10-18 00:00:00,2018-06-06 16:20:00
101,01310,sao paulo,SP,2018-06-01 10:00:00,2018-06-01 10:00:00
102,80010,curitiba,PR,2018-06-02 12:30:00,2018-06-02 12:30:00
103,70040,brasilia,DF,2018-06-03 09:00:00,2018-06-03 09:00:00
104,69900,rio branco,AC,2018-06-04 15:45:00,2018-06-04 15:45:00
105,57020,maceio,AL,2018-06-05 11:10:00,2018-06-05 11:10:0
